Temperatura A,Temperatura B, Diferencia,Voltaje
52.10,25.29,26.81,0.16
52.10,26.49,25.61,0.15
51.95,26.49,25.46,0.15
52.10,27.66,24.44,0.15
51.95,26.49,25.46,0.15
52.10,24.07,28.03,0.15
52.10,26.49,25.61,0.15
51.80,26.49,25.31,0.15
51.80,27.66,24.14,0.15
51.95,27.66,24.29,0.15
51.80,25.29,26.51,0.15
51.64,25.29,26.35,0.16
51.64,26.49,25.15,0.15
51.64,25.29,26.35,0.16
51.64,24.07,27.57,0.15
51.33,26.49,24.84,0.15
51.64,26.49,25.15,0.15
51.33,24.07,27.26,0.15
51.64,26.49,25.15,0.15
51.33,25.29,26.04,0.15
51.49,26.49,25.0,0.15
51.18,25.29,25.89,0.15
51.18,26.49,24.69,0.15
51.49,25.29,26.2,0.15
51.18,25.29,25.89,0.15
51.02,25.29,25.73,0.15
51.18,25.29,25.89,0.14
51.18,26.49,24.69,0.15
51.18,26.49,24.69,0.14
51.02,25.29,25.73,0.14
51.02,24.07,26.95,0.15
51.02,25.29,25.73,0.15
50.86,25.29,25.57,0.15
50.86,26.49,24.37,0.15
51.02,24.07,26.95,0.15
50.70,26.49,24.21,0.15
50.86,24.07,26.79,0.15
50.86,26.49,24.37,0.15
50.86,26.49,24.37,0.15
50.86,25.29,25.57,0.15
50.86,25.29,25.57,0.15
50.86,25.29,25.57,0.14
50.86,25.29,25.57,0.15
50.70,25.29,25.41,0.15
50.54,26.49,24.05,0.14
50.54,26.49,24.05,0.15
50.54,25.29,25.25,0.15
50.70,26.49,24.21,0.14
50.70,25.29,25.41,0.14
50.38,25.29,25.09,0.14
50.54,24.07,26.47,0.15
50.54,25.29,25.25,0.15
50.38,27.66,22.72,0.14
50.54,24.07,26.47,0.15
50.21,25.29,24.92,0.15
50.21,24.07,26.14,0.15
50.38,26.49,23.89,0.14
50.21,26.49,23.72,0.15
50.38,26.49,23.89,0.15
50.21,24.07,26.14,0.14
50.38,25.29,25.09,0.15
50.21,25.29,24.92,0.15
50.05,25.29,24.76,0.15
50.05,26.49,23.56,0.15
50.21,25.29,24.92,0.15
50.05,25.29,24.76,0.14
50.05,25.29,24.76,0.15
49.89,25.29,24.6,0.14
49.89,25.29,24.6,0.14
49.89,26.49,23.4,0.15
49.72,26.49,23.23,0.14
49.89,25.29,24.6,0.15
49.72,25.29,24.43,0.14
49.56,25.29,24.27,0.15
49.89,25.29,24.6,0.14
49.56,25.29,24.27,0.14
49.72,24.07,25.65,0.14
49.72,26.49,23.23,0.14
49.72,25.29,24.43,0.14
49.56,26.49,23.07,0.14
49.39,25.29,24.1,0.14
49.56,25.29,24.27,0.14
49.22,24.07,25.15,0.15
49.39,25.29,24.1,0.14
49.22,25.29,23.93,0.15
49.39,25.29,24.1,0.14
49.22,24.07,25.15,0.14
49.22,22.82,26.4,0.14
49.56,25.29,24.27,0.14
49.22,24.07,25.15,0.14
49.39,25.29,24.1,0.14
49.22,24.07,25.15,0.15
49.05,25.29,23.76,0.14
49.05,25.29,23.76,0.14
49.22,26.49,22.73,0.14
48.88,26.49,22.39,0.13
49.22,26.49,22.73,0.14
48.88,24.07,24.81,0.14
48.88,24.07,24.81,0.14
49.05,26.49,22.56,0.14
48.88,25.29,23.59,0.14
48.88,25.29,23.59,0.13
48.88,25.29,23.59,0.14
48.88,25.29,23.59,0.15
48.71,24.07,24.64,0.14
48.88,25.29,23.59,0.14
48.71,25.29,23.42,0.14
48.71,24.07,24.64,0.14
48.71,24.07,24.64,0.14
48.71,25.29,23.42,0.14
48.71,24.07,24.64,0.14
48.71,25.29,23.42,0.14
48.54,24.07,24.47,0.14
48.54,24.07,24.47,0.14
48.54,25.29,23.25,0.14
48.37,25.29,23.08,0.15
48.54,24.07,24.47,0.14
48.54,24.07,24.47,0.14
